id,quality_grade,url,image_url,captive_cultivated,scientific_name
14326,research,http://www.inaturalist.org/observations/14326,http://static.inaturalist.org/photos/28201/medium.jpg,false,Carya ovata
62150,research,http://www.inaturalist.org/observations/62150,http://static.inaturalist.org/photos/95679/medium.jpg,false,Carya tomentosa
87035,research,http://www.inaturalist.org/observations/87035,https://inaturalist-open-data.s3.amazonaws.com/photos/127134/medium.jpg,false,Carya ovata
122764,research,http://www.inaturalist.org/observations/122764,http://static.inaturalist.org/photos/174957/medium.jpg,false,Carya ovata
129865,research,http://www.inaturalist.org/observations/129865,http://static.inaturalist.org/photos/183333/medium.jpg,false,Juglans nigra
135446,research,http://www.inaturalist.org/observations/135446,https://inaturalist-open-data.s3.amazonaws.com/photos/188516/medium.jpg,false,Juglans nigra
145608,research,http://www.inaturalist.org/observations/145608,https://inaturalist-open-data.s3.amazonaws.com/photos/201088/medium.jpg,false,Carya glabra
145626,research,http://www.inaturalist.org/observations/145626,https://inaturalist-open-data.s3.amazonaws.com/photos/201123/medium.jpg,false,Juglans nigra
195280,research,http://www.inaturalist.org/observations/195280,https://inaturalist-open-data.s3.amazonaws.com/photos/249269/medium.jpg,false,Juglans nigra
199694,research,http://www.inaturalist.org/observations/199694,https://inaturalist-open-data.s3.amazonaws.com/photos/253548/medium.jpg,false,Carya ovata
204812,research,http://www.inaturalist.org/observations/204812,https://inaturalist-open-data.s3.amazonaws.com/photos/259940/medium.jpg,false,Juglans nigra
215206,research,http://www.inaturalist.org/observations/215206,http://static.inaturalist.org/photos/271228/medium.jpg,false,Carya carolinae-septentrionalis
260421,research,http://www.inaturalist.org/observations/260421,http://static.inaturalist.org/photos/322844/medium.jpg,false,Carya tomentosa
278948,research,http://www.inaturalist.org/observations/278948,https://inaturalist-open-data.s3.amazonaws.com/photos/345135/medium.jpg,false,Juglans nigra
319818,research,http://www.inaturalist.org/observations/319818,https://inaturalist-open-data.s3.amazonaws.com/photos/397799/medium.JPG,false,Juglans nigra
320274,research,http://www.inaturalist.org/observations/320274,https://inaturalist-open-data.s3.amazonaws.com/photos/398438/medium.JPG,false,Carya ovata
427469,research,http://www.inaturalist.org/observations/427469,http://static.inaturalist.org/photos/538383/medium.jpg,false,Carya illinoinensis
431143,research,http://www.inaturalist.org/observations/431143,https://inaturalist-open-data.s3.amazonaws.com/photos/543442/medium.jpg,false,Juglans nigra
443921,research,http://www.inaturalist.org/observations/443921,https://inaturalist-open-data.s3.amazonaws.com/photos/558927/medium.jpg,false,Carya glabra
451046,research,http://www.inaturalist.org/observations/451046,https://inaturalist-open-data.s3.amazonaws.com/photos/568742/medium.jpg,false,Carya glabra
455542,research,http://www.inaturalist.org/observations/455542,https://inaturalist-open-data.s3.amazonaws.com/photos/574872/medium.jpg,false,Carya ovata
460443,research,http://www.inaturalist.org/observations/460443,https://inaturalist-open-data.s3.amazonaws.com/photos/580692/medium.jpg,false,Carya ovata
461629,research,http://www.inaturalist.org/observations/461629,https://inaturalist-open-data.s3.amazonaws.com/photos/582252/medium.jpg,false,Juglans nigra
462074,research,http://www.inaturalist.org/observations/462074,https://inaturalist-open-data.s3.amazonaws.com/photos/582858/medium.JPG,false,Carya ovata
462145,research,http://www.inaturalist.org/observations/462145,https://inaturalist-open-data.s3.amazonaws.com/photos/582932/medium.,false,Juglans nigra
462167,research,http://www.inaturalist.org/observations/462167,https://inaturalist-open-data.s3.amazonaws.com/photos/582941/medium.,false,Carya glabra
530732,research,http://www.inaturalist.org/observations/530732,https://inaturalist-open-data.s3.amazonaws.com/photos/675291/medium.jpg,false,Carya ovata
664575,research,http://www.inaturalist.org/observations/664575,https://inaturalist-open-data.s3.amazonaws.com/photos/856661/medium.jpg,false,Carya illinoinensis
681309,research,http://www.inaturalist.org/observations/681309,https://inaturalist-open-data.s3.amazonaws.com/photos/857948/medium.jpg,false,Carya ovata
708268,research,http://www.inaturalist.org/observations/708268,https://inaturalist-open-data.s3.amazonaws.com/photos/890029/medium.jpg,false,Carya ovata
713390,research,http://www.inaturalist.org/observations/713390,https://inaturalist-open-data.s3.amazonaws.com/photos/896213/medium.jpg,false,Juglans nigra
740329,research,http://www.inaturalist.org/observations/740329,https://inaturalist-open-data.s3.amazonaws.com/photos/930555/medium.JPG,false,Carya ovata
757162,research,http://www.inaturalist.org/observations/757162,https://inaturalist-open-data.s3.amazonaws.com/photos/951960/medium.JPG,false,Juglans nigra
758157,research,http://www.inaturalist.org/observations/758157,https://inaturalist-open-data.s3.amazonaws.com/photos/953111/medium.jpg,false,Carya ovata
782491,research,http://www.inaturalist.org/observations/782491,http://static.inaturalist.org/photos/983155/medium.jpg,false,Carya cordiformis
783014,research,http://www.inaturalist.org/observations/783014,https://inaturalist-open-data.s3.amazonaws.com/photos/983827/medium.jpg,false,Juglans cinerea
846827,research,http://www.inaturalist.org/observations/846827,http://static.inaturalist.org/photos/1072317/medium.JPG,false,Juglans nigra
847826,research,http://www.inaturalist.org/observations/847826,https://inaturalist-open-data.s3.amazonaws.com/photos/1073416/medium.jpg,false,Carya tomentosa
850211,research,http://www.inaturalist.org/observations/850211,https://inaturalist-open-data.s3.amazonaws.com/photos/1076653/medium.jpg,false,Carya tomentosa
851982,research,http://www.inaturalist.org/observations/851982,https://inaturalist-open-data.s3.amazonaws.com/photos/1079048/medium.JPG,false,Juglans nigra
871291,research,http://www.inaturalist.org/observations/871291,https://static.inaturalist.org/photos/1106311/medium.jpg,false,Juglans nigra
886991,research,http://www.inaturalist.org/observations/886991,https://inaturalist-open-data.s3.amazonaws.com/photos/1126263/medium.JPG,false,Carya illinoinensis
906442,research,http://www.inaturalist.org/observations/906442,https://inaturalist-open-data.s3.amazonaws.com/photos/1343370/medium.JPG,false,Carya tomentosa
1022689,research,http://www.inaturalist.org/observations/1022689,https://inaturalist-open-data.s3.amazonaws.com/photos/1281872/medium.jpg,false,Carya illinoinensis
1022823,research,http://www.inaturalist.org/observations/1022823,https://inaturalist-open-data.s3.amazonaws.com/photos/1281993/medium.jpg,false,Carya illinoinensis
1035606,research,http://www.inaturalist.org/observations/1035606,https://inaturalist-open-data.s3.amazonaws.com/photos/1298562/medium.jpg,false,Carya ovata
1045495,research,http://www.inaturalist.org/observations/1045495,https://inaturalist-open-data.s3.amazonaws.com/photos/1311906/medium.jpg,false,Carya tomentosa
1047314,research,http://www.inaturalist.org/observations/1047314,https://inaturalist-open-data.s3.amazonaws.com/photos/1314352/medium.JPG,false,Juglans nigra
1050926,research,http://www.inaturalist.org/observations/1050926,https://inaturalist-open-data.s3.amazonaws.com/photos/1318163/medium.JPG,false,Carya glabra
1057841,research,http://www.inaturalist.org/observations/1057841,https://inaturalist-open-data.s3.amazonaws.com/photos/1326572/medium.jpg,false,Carya illinoinensis
1058222,research,http://www.inaturalist.org/observations/1058222,https://inaturalist-open-data.s3.amazonaws.com/photos/1327033/medium.jpg,false,Juglans nigra
1060539,research,http://www.inaturalist.org/observations/1060539,https://inaturalist-open-data.s3.amazonaws.com/photos/1328995/medium.jpg,false,Juglans nigra
1060650,research,http://www.inaturalist.org/observations/1060650,https://inaturalist-open-data.s3.amazonaws.com/photos/1329177/medium.jpg,false,Carya cordiformis
1061779,research,http://www.inaturalist.org/observations/1061779,https://inaturalist-open-data.s3.amazonaws.com/photos/1330918/medium.JPG,false,Carya tomentosa
1063850,research,http://www.inaturalist.org/observations/1063850,https://static.inaturalist.org/photos/1333691/medium.jpg,false,Carya illinoinensis
1064647,research,http://www.inaturalist.org/observations/1064647,https://inaturalist-open-data.s3.amazonaws.com/photos/1334788/medium.jpg,false,Carya ovata ovata
1064666,research,http://www.inaturalist.org/observations/1064666,https://inaturalist-open-data.s3.amazonaws.com/photos/1334801/medium.jpg,false,Carya carolinae-septentrionalis
1065491,research,http://www.inaturalist.org/observations/1065491,https://inaturalist-open-data.s3.amazonaws.com/photos/1360326/medium.jpg,false,Juglans nigra
1066982,research,http://www.inaturalist.org/observations/1066982,https://inaturalist-open-data.s3.amazonaws.com/photos/1337493/medium.JPG,false,Carya illinoinensis
1067171,research,http://www.inaturalist.org/observations/1067171,https://inaturalist-open-data.s3.amazonaws.com/photos/1337739/medium.JPG,false,Carya illinoinensis
1067175,research,http://www.inaturalist.org/observations/1067175,https://inaturalist-open-data.s3.amazonaws.com/photos/1337885/medium.JPG,false,Juglans nigra
1067226,research,http://www.inaturalist.org/observations/1067226,https://inaturalist-open-data.s3.amazonaws.com/photos/1337775/medium.JPG,false,Carya glabra
1067297,research,http://www.inaturalist.org/observations/1067297,https://inaturalist-open-data.s3.amazonaws.com/photos/1358824/medium.png,false,Carya ovata
1067817,research,http://www.inaturalist.org/observations/1067817,https://inaturalist-open-data.s3.amazonaws.com/photos/1338541/medium.JPG,false,Juglans nigra
